AaegL5_1 | Aedes_aegypti_LVP_AGWG | AaegL5 | 310827022 | chromosome
NIGP01000038 | Aedes_aegypti_LVP_AGWG | AaegL5 | 1000 | supercontig
NIGP01000039 | Aedes_aegypti_LVP_AGWG | AaegL5 | 60997 | supercontig
NIGP01000040 | Aedes_aegypti_LVP_AGWG | AaegL5 | 26673 | supercontig
NIGP01000041 | Aedes_aegypti_LVP_AGWG | AaegL5 | 37991 | supercontig
NIGP01000042 | Aedes_aegypti_LVP_AGWG | AaegL5 | 24332 | supercontig
NIGP01000043 | Aedes_aegypti_LVP_AGWG | AaegL5 | 25690 | supercontig
NIGP01000044 | Aedes_aegypti_LVP_AGWG | AaegL5 | 6507 | supercontig
NIGP01000045 | Aedes_aegypti_LVP_AGWG | AaegL5 | 19240 | supercontig
NIGP01000046 | Aedes_aegypti_LVP_AGWG | AaegL5 | 47682 | supercontig
NIGP01000047 | Aedes_aegypti_LVP_AGWG | AaegL5 | 41188 | supercontig
NIGP01000048 | Aedes_aegypti_LVP_AGWG | AaegL5 | 30938 | supercontig
NIGP01000049 | Aedes_aegypti_LVP_AGWG | AaegL5 | 38975 | supercontig
NIGP01000050 | Aedes_aegypti_LVP_AGWG | AaegL5 | 11166 | supercontig
NIGP01000051 | Aedes_aegypti_LVP_AGWG | AaegL5 | 33041 | supercontig
NIGP01000052 | Aedes_aegypti_LVP_AGWG | AaegL5 | 44914 | supercontig
NIGP01000053 | Aedes_aegypti_LVP_AGWG | AaegL5 | 38546 | supercontig
NIGP01000054 | Aedes_aegypti_LVP_AGWG | AaegL5 | 23670 | supercontig
NIGP01000055 | Aedes_aegypti_LVP_AGWG | AaegL5 | 37460 | supercontig
NIGP01000056 | Aedes_aegypti_LVP_AGWG | AaegL5 | 49124 | supercontig
NIGP01000057 | Aedes_aegypti_LVP_AGWG | AaegL5 | 4500 | supercontig
NIGP01000058 | Aedes_aegypti_LVP_AGWG | AaegL5 | 140198 | supercontig
NIGP01000059 | Aedes_aegypti_LVP_AGWG | AaegL5 | 30481 | supercontig
NIGP01000060 | Aedes_aegypti_LVP_AGWG | AaegL5 | 45284 | supercontig
NIGP01000061 | Aedes_aegypti_LVP_AGWG | AaegL5 | 54713 | supercontig
NIGP01000062 | Aedes_aegypti_LVP_AGWG | AaegL5 | 18023 | supercontig
NIGP01000063 | Aedes_aegypti_LVP_AGWG | AaegL5 | 75352 | supercontig
NIGP01000064 | Aedes_aegypti_LVP_AGWG | AaegL5 | 26610 | supercontig
NIGP01000065 | Aedes_aegypti_LVP_AGWG | AaegL5 | 29489 | supercontig
NIGP01000066 | Aedes_aegypti_LVP_AGWG | AaegL5 | 26078 | supercontig
NIGP01000067 | Aedes_aegypti_LVP_AGWG | AaegL5 | 22416 | supercontig
NIGP01000068 | Aedes_aegypti_LVP_AGWG | AaegL5 | 24481 | supercontig
NIGP01000069 | Aedes_aegypti_LVP_AGWG | AaegL5 | 41369 | supercontig
NIGP01000070 | Aedes_aegypti_LVP_AGWG | AaegL5 | 3000 | supercontig
NIGP01000071 | Aedes_aegypti_LVP_AGWG | AaegL5 | 26317 | supercontig
NIGP01000072 | Aedes_aegypti_LVP_AGWG | AaegL5 | 77551 | supercontig
NIGP01000073 | Aedes_aegypti_LVP_AGWG | AaegL5 | 28488 | supercontig
NIGP01000074 | Aedes_aegypti_LVP_AGWG | AaegL5 | 21876 | supercontig
NIGP01000075 | Aedes_aegypti_LVP_AGWG | AaegL5 | 26099 | supercontig
NIGP01000076 | Aedes_aegypti_LVP_AGWG | AaegL5 | 24791 | supercontig
NIGP01000077 | Aedes_aegypti_LVP_AGWG | AaegL5 | 97565 | supercontig
NIGP01000078 | Aedes_aegypti_LVP_AGWG | AaegL5 | 26984 | supercontig
NIGP01000079 | Aedes_aegypti_LVP_AGWG | AaegL5 | 28639 | supercontig
NIGP01000080 | Aedes_aegypti_LVP_AGWG | AaegL5 | 77531 | supercontig
NIGP01000081 | Aedes_aegypti_LVP_AGWG | AaegL5 | 55137 | supercontig
NIGP01000082 | Aedes_aegypti_LVP_AGWG | AaegL5 | 36027 | supercontig
NIGP01000083 | Aedes_aegypti_LVP_AGWG | AaegL5 | 29398 | supercontig
NIGP01000084 | Aedes_aegypti_LVP_AGWG | AaegL5 | 39626 | supercontig
NIGP01000085 | Aedes_aegypti_LVP_AGWG | AaegL5 | 25436 | supercontig
NIGP01000086 | Aedes_aegypti_LVP_AGWG | AaegL5 | 29972 | supercontig
NIGP01000087 | Aedes_aegypti_LVP_AGWG | AaegL5 | 48551 | supercontig
NIGP01000088 | Aedes_aegypti_LVP_AGWG | AaegL5 | 44484 | supercontig
NIGP01000089 | Aedes_aegypti_LVP_AGWG | AaegL5 | 35991 | supercontig
NIGP01000090 | Aedes_aegypti_LVP_AGWG | AaegL5 | 21944 | supercontig
NIGP01000091 | Aedes_aegypti_LVP_AGWG | AaegL5 | 20203 | supercontig
NIGP01000092 | Aedes_aegypti_LVP_AGWG | AaegL5 | 48504 | supercontig
NIGP01000093 | Aedes_aegypti_LVP_AGWG | AaegL5 | 35781 | supercontig
NIGP01000094 | Aedes_aegypti_LVP_AGWG | AaegL5 | 108739 | supercontig
NIGP01000095 | Aedes_aegypti_LVP_AGWG | AaegL5 | 47210 | supercontig
NIGP01000096 | Aedes_aegypti_LVP_AGWG | AaegL5 | 38664 | supercontig
NIGP01000097 | Aedes_aegypti_LVP_AGWG | AaegL5 | 1000 | supercontig
NIGP01000098 | Aedes_aegypti_LVP_AGWG | AaegL5 | 52694 | supercontig
NIGP01000099 | Aedes_aegypti_LVP_AGWG | AaegL5 | 1000 | supercontig
NIGP01000100 | Aedes_aegypti_LVP_AGWG | AaegL5 | 30044 | supercontig
NIGP01000101 | Aedes_aegypti_LVP_AGWG | AaegL5 | 226063 | supercontig
NIGP01000102 | Aedes_aegypti_LVP_AGWG | AaegL5 | 32865 | supercontig
NIGP01000103 | Aedes_aegypti_LVP_AGWG | AaegL5 | 42846 | supercontig
NIGP01000104 | Aedes_aegypti_LVP_AGWG | AaegL5 | 23836 | supercontig
NIGP01000105 | Aedes_aegypti_LVP_AGWG | AaegL5 | 30517 | supercontig
NIGP01000106 | Aedes_aegypti_LVP_AGWG | AaegL5 | 101610 | supercontig
NIGP01000107 | Aedes_aegypti_LVP_AGWG | AaegL5 | 39364 | supercontig
NIGP01000108 | Aedes_aegypti_LVP_AGWG | AaegL5 | 26577 | supercontig
NIGP01000109 | Aedes_aegypti_LVP_AGWG | AaegL5 | 27522 | supercontig
NIGP01000110 | Aedes_aegypti_LVP_AGWG | AaegL5 | 89093 | supercontig
NIGP01000111 | Aedes_aegypti_LVP_AGWG | AaegL5 | 27130 | supercontig
NIGP01000112 | Aedes_aegypti_LVP_AGWG | AaegL5 | 25550 | supercontig
NIGP01000113 | Aedes_aegypti_LVP_AGWG | AaegL5 | 44779 | supercontig
NIGP01000114 | Aedes_aegypti_LVP_AGWG | AaegL5 | 31073 | supercontig
NIGP01000115 | Aedes_aegypti_LVP_AGWG | AaegL5 | 22176 | supercontig
NIGP01000116 | Aedes_aegypti_LVP_AGWG | AaegL5 | 33092 | supercontig
NIGP01000117 | Aedes_aegypti_LVP_AGWG | AaegL5 | 28166 | supercontig
NIGP01000118 | Aedes_aegypti_LVP_AGWG | AaegL5 | 5000 | supercontig
NIGP01000119 | Aedes_aegypti_LVP_AGWG | AaegL5 | 20871 | supercontig
NIGP01000120 | Aedes_aegypti_LVP_AGWG | AaegL5 | 28968 | supercontig
NIGP01000121 | Aedes_aegypti_LVP_AGWG | AaegL5 | 44855 | supercontig
NIGP01000122 | Aedes_aegypti_LVP_AGWG | AaegL5 | 30469 | supercontig
NIGP01000123 | Aedes_aegypti_LVP_AGWG | AaegL5 | 57908 | supercontig
NIGP01000124 | Aedes_aegypti_LVP_AGWG | AaegL5 | 58688 | supercontig
NIGP01000125 | Aedes_aegypti_LVP_AGWG | AaegL5 | 43930 | supercontig
NIGP01000126 | Aedes_aegypti_LVP_AGWG | AaegL5 | 35509 | supercontig
NIGP01000127 | Aedes_aegypti_LVP_AGWG | AaegL5 | 31923 | supercontig
NIGP01000128 | Aedes_aegypti_LVP_AGWG | AaegL5 | 5955 | supercontig
NIGP01000129 | Aedes_aegypti_LVP_AGWG | AaegL5 | 29998 | supercontig
NIGP01000130 | Aedes_aegypti_LVP_AGWG | AaegL5 | 153870 | supercontig
NIGP01000131 | Aedes_aegypti_LVP_AGWG | AaegL5 | 24730 | supercontig
NIGP01000132 | Aedes_aegypti_LVP_AGWG | AaegL5 | 24678 | supercontig
NIGP01000133 | Aedes_aegypti_LVP_AGWG | AaegL5 | 31089 | supercontig
NIGP01000134 | Aedes_aegypti_LVP_AGWG | AaegL5 | 42644 | supercontig
NIGP01000135 | Aedes_aegypti_LVP_AGWG | AaegL5 | 23927 | supercontig
NIGP01000136 | Aedes_aegypti_LVP_AGWG | AaegL5 | 26005 | supercontig
NIGP01000137 | Aedes_aegypti_LVP_AGWG | AaegL5 | 32178 | supercontig
NIGP01000138 | Aedes_aegypti_LVP_AGWG | AaegL5 | 21690 | supercontig
NIGP01000139 | Aedes_aegypti_LVP_AGWG | AaegL5 | 80016 | supercontig
NIGP01000140 | Aedes_aegypti_LVP_AGWG | AaegL5 | 74779 | supercontig
NIGP01000141 | Aedes_aegypti_LVP_AGWG | AaegL5 | 29639 | supercontig
NIGP01000142 | Aedes_aegypti_LVP_AGWG | AaegL5 | 57264 | supercontig
NIGP01000143 | Aedes_aegypti_LVP_AGWG | AaegL5 | 33464 | supercontig
NIGP01000144 | Aedes_aegypti_LVP_AGWG | AaegL5 | 44758 | supercontig
NIGP01000145 | Aedes_aegypti_LVP_AGWG | AaegL5 | 30809 | supercontig
NIGP01000146 | Aedes_aegypti_LVP_AGWG | AaegL5 | 1500 | supercontig
NIGP01000147 | Aedes_aegypti_LVP_AGWG | AaegL5 | 31162 | supercontig
NIGP01000148 | Aedes_aegypti_LVP_AGWG | AaegL5 | 54110 | supercontig
NIGP01000149 | Aedes_aegypti_LVP_AGWG | AaegL5 | 58243 | supercontig
NIGP01000150 | Aedes_aegypti_LVP_AGWG | AaegL5 | 40349 | supercontig
NIGP01000151 | Aedes_aegypti_LVP_AGWG | AaegL5 | 29483 | supercontig
NIGP01000152 | Aedes_aegypti_LVP_AGWG | AaegL5 | 22818 | supercontig
NIGP01000153 | Aedes_aegypti_LVP_AGWG | AaegL5 | 28218 | supercontig
NIGP01000154 | Aedes_aegypti_LVP_AGWG | AaegL5 | 153003 | supercontig
NIGP01000155 | Aedes_aegypti_LVP_AGWG | AaegL5 | 29735 | supercontig
NIGP01000156 | Aedes_aegypti_LVP_AGWG | AaegL5 | 40451 | supercontig
NIGP01000157 | Aedes_aegypti_LVP_AGWG | AaegL5 | 39873 | supercontig
NIGP01000158 | Aedes_aegypti_LVP_AGWG | AaegL5 | 6000 | supercontig
NIGP01000159 | Aedes_aegypti_LVP_AGWG | AaegL5 | 74389 | supercontig
NIGP01000160 | Aedes_aegypti_LVP_AGWG | AaegL5 | 76832 | supercontig
NIGP01000161 | Aedes_aegypti_LVP_AGWG | AaegL5 | 15194 | supercontig
NIGP01000162 | Aedes_aegypti_LVP_AGWG | AaegL5 | 30756 | supercontig
NIGP01000163 | Aedes_aegypti_LVP_AGWG | AaegL5 | 20849 | supercontig
NIGP01000164 | Aedes_aegypti_LVP_AGWG | AaegL5 | 29596 | supercontig
NIGP01000165 | Aedes_aegypti_LVP_AGWG | AaegL5 | 28319 | supercontig
NIGP01000166 | Aedes_aegypti_LVP_AGWG | AaegL5 | 24204 | supercontig
NIGP01000167 | Aedes_aegypti_LVP_AGWG | AaegL5 | 44145 | supercontig
NIGP01000168 | Aedes_aegypti_LVP_AGWG | AaegL5 | 20301 | supercontig
NIGP01000169 | Aedes_aegypti_LVP_AGWG | AaegL5 | 16473 | supercontig
NIGP01000170 | Aedes_aegypti_LVP_AGWG | AaegL5 | 25392 | supercontig
NIGP01000171 | Aedes_aegypti_LVP_AGWG | AaegL5 | 33004 | supercontig
NIGP01000172 | Aedes_aegypti_LVP_AGWG | AaegL5 | 33178 | supercontig
NIGP01000173 | Aedes_aegypti_LVP_AGWG | AaegL5 | 5197 | supercontig
NIGP01000174 | Aedes_aegypti_LVP_AGWG | AaegL5 | 8043 | supercontig
NIGP01000175 | Aedes_aegypti_LVP_AGWG | AaegL5 | 2000 | supercontig
NIGP01000176 | Aedes_aegypti_LVP_AGWG | AaegL5 | 25683 | supercontig
NIGP01000177 | Aedes_aegypti_LVP_AGWG | AaegL5 | 37424 | supercontig
NIGP01000178 | Aedes_aegypti_LVP_AGWG | AaegL5 | 8945 | supercontig
NIGP01000179 | Aedes_aegypti_LVP_AGWG | AaegL5 | 30657 | supercontig
NIGP01000180 | Aedes_aegypti_LVP_AGWG | AaegL5 | 89935 | supercontig
NIGP01000181 | Aedes_aegypti_LVP_AGWG | AaegL5 | 25487 | supercontig
NIGP01000182 | Aedes_aegypti_LVP_AGWG | AaegL5 | 73963 | supercontig
NIGP01000183 | Aedes_aegypti_LVP_AGWG | AaegL5 | 26005 | supercontig
NIGP01000184 | Aedes_aegypti_LVP_AGWG | AaegL5 | 159596 | supercontig
NIGP01000185 | Aedes_aegypti_LVP_AGWG | AaegL5 | 47431 | supercontig
NIGP01000186 | Aedes_aegypti_LVP_AGWG | AaegL5 | 28988 | supercontig
NIGP01000187 | Aedes_aegypti_LVP_AGWG | AaegL5 | 59550 | supercontig
NIGP01000188 | Aedes_aegypti_LVP_AGWG | AaegL5 | 73687 | supercontig
NIGP01000189 | Aedes_aegypti_LVP_AGWG | AaegL5 | 65087 | supercontig
NIGP01000190 | Aedes_aegypti_LVP_AGWG | AaegL5 | 44689 | supercontig
NIGP01000191 | Aedes_aegypti_LVP_AGWG | AaegL5 | 34816 | supercontig
NIGP01000192 | Aedes_aegypti_LVP_AGWG | AaegL5 | 27845 | supercontig
NIGP01000193 | Aedes_aegypti_LVP_AGWG | AaegL5 | 25262 | supercontig
NIGP01000194 | Aedes_aegypti_LVP_AGWG | AaegL5 | 46994 | supercontig
NIGP01000195 | Aedes_aegypti_LVP_AGWG | AaegL5 | 35937 | supercontig
NIGP01000196 | Aedes_aegypti_LVP_AGWG | AaegL5 | 20019 | supercontig
NIGP01000197 | Aedes_aegypti_LVP_AGWG | AaegL5 | 72607 | supercontig
NIGP01000198 | Aedes_aegypti_LVP_AGWG | AaegL5 | 81146 | supercontig
NIGP01000199 | Aedes_aegypti_LVP_AGWG | AaegL5 | 25592 | supercontig
NIGP01000200 | Aedes_aegypti_LVP_AGWG | AaegL5 | 28386 | supercontig
NIGP01000201 | Aedes_aegypti_LVP_AGWG | AaegL5 | 247994 | supercontig
NIGP01000202 | Aedes_aegypti_LVP_AGWG | AaegL5 | 32776 | supercontig
NIGP01000203 | Aedes_aegypti_LVP_AGWG | AaegL5 | 42558 | supercontig
NIGP01000204 | Aedes_aegypti_LVP_AGWG | AaegL5 | 39343 | supercontig
NIGP01000205 | Aedes_aegypti_LVP_AGWG | AaegL5 | 63112 | supercontig
NIGP01000206 | Aedes_aegypti_LVP_AGWG | AaegL5 | 65287 | supercontig
NIGP01000207 | Aedes_aegypti_LVP_AGWG | AaegL5 | 35353 | supercontig
NIGP01000208 | Aedes_aegypti_LVP_AGWG | AaegL5 | 35082 | supercontig
NIGP01000209 | Aedes_aegypti_LVP_AGWG | AaegL5 | 40651 | supercontig
NIGP01000210 | Aedes_aegypti_LVP_AGWG | AaegL5 | 64887 | supercontig
NIGP01000211 | Aedes_aegypti_LVP_AGWG | AaegL5 | 27398 | supercontig
NIGP01000212 | Aedes_aegypti_LVP_AGWG | AaegL5 | 58287 | supercontig
NIGP01000213 | Aedes_aegypti_LVP_AGWG | AaegL5 | 51187 | supercontig
NIGP01000214 | Aedes_aegypti_LVP_AGWG | AaegL5 | 47514 | supercontig
NIGP01000215 | Aedes_aegypti_LVP_AGWG | AaegL5 | 1500 | supercontig
NIGP01000216 | Aedes_aegypti_LVP_AGWG | AaegL5 | 51697 | supercontig
NIGP01000217 | Aedes_aegypti_LVP_AGWG | AaegL5 | 47061 | supercontig
NIGP01000218 | Aedes_aegypti_LVP_AGWG | AaegL5 | 54225 | supercontig
NIGP01000219 | Aedes_aegypti_LVP_AGWG | AaegL5 | 44309 | supercontig
NIGP01000220 | Aedes_aegypti_LVP_AGWG | AaegL5 | 34869 | supercontig
NIGP01000221 | Aedes_aegypti_LVP_AGWG | AaegL5 | 31026 | supercontig
NIGP01000222 | Aedes_aegypti_LVP_AGWG | AaegL5 | 34771 | supercontig
NIGP01000223 | Aedes_aegypti_LVP_AGWG | AaegL5 | 32838 | supercontig
NIGP01000224 | Aedes_aegypti_LVP_AGWG | AaegL5 | 28313 | supercontig
NIGP01000225 | Aedes_aegypti_LVP_AGWG | AaegL5 | 27855 | supercontig
NIGP01000226 | Aedes_aegypti_LVP_AGWG | AaegL5 | 110094 | supercontig
NIGP01000227 | Aedes_aegypti_LVP_AGWG | AaegL5 | 30455 | supercontig
NIGP01000228 | Aedes_aegypti_LVP_AGWG | AaegL5 | 39151 | supercontig
NIGP01000229 | Aedes_aegypti_LVP_AGWG | AaegL5 | 500 | supercontig
NIGP01000230 | Aedes_aegypti_LVP_AGWG | AaegL5 | 31771 | supercontig
NIGP01000231 | Aedes_aegypti_LVP_AGWG | AaegL5 | 21996 | supercontig
NIGP01000232 | Aedes_aegypti_LVP_AGWG | AaegL5 | 57435 | supercontig
NIGP01000233 | Aedes_aegypti_LVP_AGWG | AaegL5 | 37024 | supercontig
NIGP01000234 | Aedes_aegypti_LVP_AGWG | AaegL5 | 27534 | supercontig
NIGP01000235 | Aedes_aegypti_LVP_AGWG | AaegL5 | 23069 | supercontig
NIGP01000236 | Aedes_aegypti_LVP_AGWG | AaegL5 | 32356 | supercontig
NIGP01000237 | Aedes_aegypti_LVP_AGWG | AaegL5 | 32412 | supercontig
NIGP01000238 | Aedes_aegypti_LVP_AGWG | AaegL5 | 37180 | supercontig
NIGP01000239 | Aedes_aegypti_LVP_AGWG | AaegL5 | 32977 | supercontig
NIGP01000240 | Aedes_aegypti_LVP_AGWG | AaegL5 | 23399 | supercontig
NIGP01000241 | Aedes_aegypti_LVP_AGWG | AaegL5 | 30739 | supercontig
NIGP01000242 | Aedes_aegypti_LVP_AGWG | AaegL5 | 88678 | supercontig
NIGP01000243 | Aedes_aegypti_LVP_AGWG | AaegL5 | 9000 | supercontig
NIGP01000244 | Aedes_aegypti_LVP_AGWG | AaegL5 | 23050 | supercontig
NIGP01000245 | Aedes_aegypti_LVP_AGWG | AaegL5 | 34646 | supercontig
NIGP01000246 | Aedes_aegypti_LVP_AGWG | AaegL5 | 38999 | supercontig
NIGP01000247 | Aedes_aegypti_LVP_AGWG | AaegL5 | 43925 | supercontig
NIGP01000248 | Aedes_aegypti_LVP_AGWG | AaegL5 | 24910 | supercontig
NIGP01000249 | Aedes_aegypti_LVP_AGWG | AaegL5 | 33731 | supercontig
NIGP01000250 | Aedes_aegypti_LVP_AGWG | AaegL5 | 33551 | supercontig
NIGP01000251 | Aedes_aegypti_LVP_AGWG | AaegL5 | 28976 | supercontig
NIGP01000252 | Aedes_aegypti_LVP_AGWG | AaegL5 | 46009 | supercontig
NIGP01000253 | Aedes_aegypti_LVP_AGWG | AaegL5 | 135003 | supercontig
NIGP01000254 | Aedes_aegypti_LVP_AGWG | AaegL5 | 54892 | supercontig
NIGP01000255 | Aedes_aegypti_LVP_AGWG | AaegL5 | 6000 | supercontig
NIGP01000256 | Aedes_aegypti_LVP_AGWG | AaegL5 | 100673 | supercontig
NIGP01000257 | Aedes_aegypti_LVP_AGWG | AaegL5 | 45740 | supercontig
NIGP01000258 | Aedes_aegypti_LVP_AGWG | AaegL5 | 34889 | supercontig
NIGP01000259 | Aedes_aegypti_LVP_AGWG | AaegL5 | 21172 | supercontig
NIGP01000260 | Aedes_aegypti_LVP_AGWG | AaegL5 | 30120 | supercontig
NIGP01000261 | Aedes_aegypti_LVP_AGWG | AaegL5 | 36339 | supercontig
NIGP01000262 | Aedes_aegypti_LVP_AGWG | AaegL5 | 25422 | supercontig
NIGP01000263 | Aedes_aegypti_LVP_AGWG | AaegL5 | 47743 | supercontig
NIGP01000264 | Aedes_aegypti_LVP_AGWG | AaegL5 | 34075 | supercontig
NIGP01000265 | Aedes_aegypti_LVP_AGWG | AaegL5 | 20492 | supercontig
NIGP01000266 | Aedes_aegypti_LVP_AGWG | AaegL5 | 72539 | supercontig
NIGP01000267 | Aedes_aegypti_LVP_AGWG | AaegL5 | 33376 | supercontig
NIGP01000268 | Aedes_aegypti_LVP_AGWG | AaegL5 | 176793 | supercontig
NIGP01000269 | Aedes_aegypti_LVP_AGWG | AaegL5 | 44555 | supercontig
NIGP01000270 | Aedes_aegypti_LVP_AGWG | AaegL5 | 26187 | supercontig
NIGP01000271 | Aedes_aegypti_LVP_AGWG | AaegL5 | 33382 | supercontig
NIGP01000272 | Aedes_aegypti_LVP_AGWG | AaegL5 | 3500 | supercontig
NIGP01000273 | Aedes_aegypti_LVP_AGWG | AaegL5 | 30815 | supercontig
NIGP01000274 | Aedes_aegypti_LVP_AGWG | AaegL5 | 68867 | supercontig
NIGP01000275 | Aedes_aegypti_LVP_AGWG | AaegL5 | 20402 | supercontig
NIGP01000276 | Aedes_aegypti_LVP_AGWG | AaegL5 | 2000 | supercontig
NIGP01000277 | Aedes_aegypti_LVP_AGWG | AaegL5 | 24667 | supercontig
NIGP01000278 | Aedes_aegypti_LVP_AGWG | AaegL5 | 1000 | supercontig
NIGP01000279 | Aedes_aegypti_LVP_AGWG | AaegL5 | 50457 | supercontig
NIGP01000280 | Aedes_aegypti_LVP_AGWG | AaegL5 | 42405 | supercontig
NIGP01000281 | Aedes_aegypti_LVP_AGWG | AaegL5 | 53453 | supercontig
NIGP01000282 | Aedes_aegypti_LVP_AGWG | AaegL5 | 79989 | supercontig
NIGP01000283 | Aedes_aegypti_LVP_AGWG | AaegL5 | 100173 | supercontig
NIGP01000284 | Aedes_aegypti_LVP_AGWG | AaegL5 | 28006 | supercontig
NIGP01000285 | Aedes_aegypti_LVP_AGWG | AaegL5 | 39840 | supercontig
NIGP01000286 | Aedes_aegypti_LVP_AGWG | AaegL5 | 5507 | supercontig
NIGP01000287 | Aedes_aegypti_LVP_AGWG | AaegL5 | 22227 | supercontig
NIGP01000288 | Aedes_aegypti_LVP_AGWG | AaegL5 | 35047 | supercontig
NIGP01000289 | Aedes_aegypti_LVP_AGWG | AaegL5 | 45974 | supercontig
NIGP01000290 | Aedes_aegypti_LVP_AGWG | AaegL5 | 56242 | supercontig
NIGP01000291 | Aedes_aegypti_LVP_AGWG | AaegL5 | 46218 | supercontig
NIGP01000292 | Aedes_aegypti_LVP_AGWG | AaegL5 | 80973 | supercontig
NIGP01000293 | Aedes_aegypti_LVP_AGWG | AaegL5 | 31794 | supercontig
NIGP01000294 | Aedes_aegypti_LVP_AGWG | AaegL5 | 80565 | supercontig
NIGP01000295 | Aedes_aegypti_LVP_AGWG | AaegL5 | 59996 | supercontig
NIGP01000296 | Aedes_aegypti_LVP_AGWG | AaegL5 | 28307 | supercontig
NIGP01000297 | Aedes_aegypti_LVP_AGWG | AaegL5 | 26210 | supercontig
NIGP01000298 | Aedes_aegypti_LVP_AGWG | AaegL5 | 34064 | supercontig
NIGP01000299 | Aedes_aegypti_LVP_AGWG | AaegL5 | 31396 | supercontig
NIGP01000300 | Aedes_aegypti_LVP_AGWG | AaegL5 | 21938 | supercontig
NIGP01000301 | Aedes_aegypti_LVP_AGWG | AaegL5 | 2000 | supercontig
NIGP01000302 | Aedes_aegypti_LVP_AGWG | AaegL5 | 6000 | supercontig
NIGP01000303 | Aedes_aegypti_LVP_AGWG | AaegL5 | 8171 | supercontig
NIGP01000304 | Aedes_aegypti_LVP_AGWG | AaegL5 | 154559 | supercontig
NIGP01000305 | Aedes_aegypti_LVP_AGWG | AaegL5 | 35312 | supercontig
NIGP01000306 | Aedes_aegypti_LVP_AGWG | AaegL5 | 35196 | supercontig
NIGP01000307 | Aedes_aegypti_LVP_AGWG | AaegL5 | 2000 | supercontig
NIGP01000308 | Aedes_aegypti_LVP_AGWG | AaegL5 | 27238 | supercontig
