"chr","start","end","width","Conc","Conc_All_Others","Conc_K27Ac","Fold","p.value","FDR"
"AaegL5_3",206845714,206854780,9067,5.01599201254705,5.40737442493035,4.01991245231299,1.38746197261736,3.79273233976087e-08,6.94992574691316e-07
"AaegL5_1",153401328,153413543,12216,5.75543721769358,6.1876532046692,4.57465661839356,1.61299658627565,5.09924638758336e-08,9.21943746875072e-07
"AaegL5_2",217345730,217351049,5320,5.40231745547995,5.83948092609366,4.19707517874826,1.6424057473454,5.54554173024937e-08,9.8944139292344e-07
"AaegL5_1",134691743,134700280,8538,6.44180074930569,6.7937355613728,5.60005049055075,1.19368507082205,5.90081749364268e-08,1.0391569508285e-06
"AaegL5_3",197751623,197767320,15698,5.79213133988596,6.15622378215221,4.90499226014839,1.25123152200382,6.96165502127723e-08,1.20814735115877e-06
"AaegL5_3",358554381,359162991,608611,10.7070990395951,10.3600450187492,11.1315906029049,-0.771545584155701,7.03861657386012e-08,1.20814735115877e-06
"AaegL5_2",275204807,275271778,66972,8.04894964149742,7.55578148036225,8.59813466770392,-1.04235318734167,7.35820356607243e-08,1.24572181822842e-06
"AaegL5_2",103564368,103644663,80296,7.84206729417974,7.47872784826527,8.28165747807069,-0.802929629805427,7.4412586487096e-08,1.24572181822842e-06
"AaegL5_1",257156950,257175470,18521,6.18141404595497,5.63649941195398,6.76955549752977,-1.13305608557579,7.56692389029421e-08,1.25131082868768e-06
"AaegL5_2",266679574,266816976,137403,8.82107530974127,8.46633201325973,9.25273673167983,-0.786404718420101,9.47991733328342e-08,1.54876721734124e-06
"AaegL5_3",327854769,328490511,635743,11.1542847616091,10.8479889843353,11.5395005804127,-0.691511596077413,9.70652323787379e-08,1.5669101798282e-06
"AaegL5_2",250783289,251136742,353454,10.3040390462118,9.92195197601462,10.7606110041964,-0.838659028181743,1.01085887053534e-07,1.61261720993638e-06
"AaegL5_1",160226979,160232728,5750,3.62465377364464,2.74892186823821,4.41378728836661,-1.66486542012839,1.03749257738069e-07,1.63214060012151e-06
"AaegL5_2",404223140,404429750,206611,9.61071459509251,9.20311635660268,10.0897342379732,-0.886617881370476,1.04802219907954e-07,1.63214060012151e-06
"AaegL5_2",300693819,300700924,7106,5.72247090349904,5.00382147865297,6.42533615737223,-1.42151467871926,1.06650512657107e-07,1.63214060012151e-06
"AaegL5_3",291057780,291115733,57954,7.45181194808772,6.95697594473855,8.00229131772934,-1.04531537299078,1.07124272426854e-07,1.63214060012151e-06
"AaegL5_2",253442461,253652394,209934,10.0154294743241,9.70128020542067,10.4083840318856,-0.707103826464952,1.15314748554416e-07,1.73740887821987e-06
"AaegL5_2",263568508,263570142,1635,3.87459644456558,2.8534061258334,4.73191228049852,-1.87850615466512,1.24200329669816e-07,1.85072139595901e-06
"AaegL5_2",472265600,472763034,497435,10.2938402095741,9.96838196944748,10.6977930807449,-0.729411111297383,1.34785493805659e-07,1.98662097391819e-06
"AaegL5_2",395770859,395786388,15530,6.55433544897028,6.15631259840138,7.02501685466242,-0.868704256261038,1.6866660904838e-07,2.45602416444189e-06
"AaegL5_2",217864086,218107704,243619,10.1767090421677,9.92530692383377,10.5053992692887,-0.580092345454968,1.70255362431813e-07,2.45602416444189e-06
"AaegL5_2",164330314,164824095,493782,10.4189356979904,10.1635963211849,10.7518279982029,-0.588231677017951,1.76109044616193e-07,2.51372488946902e-06
"AaegL5_2",383693241,383701193,7953,4.78526863010096,5.18526346919051,3.75256975324462,1.43269371594589,1.94792552589006e-07,2.75144480531971e-06
"AaegL5_2",266928942,266935933,6992,5.41477780191974,4.83446358385481,6.02820671866183,-1.19374313480702,2.00598874788544e-07,2.79443567315244e-06
"AaegL5_2",190116486,190189280,72795,7.06774436064706,7.498513029605,5.89402633556759,1.60448669403741,2.01957740390073e-07,2.79443567315244e-06
"AaegL5_3",372500593,372502294,1702,3.21032626735363,1.98434194888728,4.14841691824323,-2.16407496935595,2.0779830029117e-07,2.84620702216997e-06
"AaegL5_3",202012814,202028713,15900,6.49474185999054,6.84070900686023,5.67462384090479,1.16608516595544,2.16128917411648e-07,2.93038968911509e-06
"AaegL5_2",196232905,196301866,68962,7.53016729668435,7.21388048510005,7.92521374367198,-0.711333258571929,2.18266488643528e-07,2.93038968911509e-06
"AaegL5_2",395889208,395932694,43487,8.04429026733365,7.61739464048582,8.53980420038843,-0.922409559902614,2.62888536439351e-07,3.49487113148784e-06
"NIGP01000859",7146,27281,20136,5.13774198036989,5.49834926988973,4.2638002781365,1.23454899175323,2.83842014042734e-07,3.73679389361113e-06
"AaegL5_1",32976490,32985485,8996,3.69418313290797,4.21059954372935,2.01085505064994,2.19974449307941,3.09687899126124e-07,4.03785376168292e-06
"AaegL5_2",464803031,464823544,20514,6.70765359698593,6.23047726371806,7.24429176850585,-1.01381450478779,3.21981708385917e-07,4.15816377686956e-06
"AaegL5_3",187876494,187943995,67502,8.63772450200789,8.34857736080025,9.00574727746371,-0.657169916663458,3.27282147985113e-07,4.1867414402624e-06
"AaegL5_3",336371579,336376756,5178,5.11110178976084,4.42846301665753,5.79202066357505,-1.36355764691751,3.43563366584967e-07,4.35394322513286e-06
"AaegL5_1",162912897,162918390,5494,4.65341227971955,5.01731590639221,3.76699211810013,1.25032378829209,3.47149379640709e-07,4.35865332215557e-06
"AaegL5_3",96243058,96332375,89318,8.07318017364565,7.6003935172721,8.60633056021491,-1.00593704294281,3.53179027722272e-07,4.39367671184771e-06
"AaegL5_1",151288912,151306719,17808,5.95695430206198,6.28998948270406,5.18233507923853,1.10765440346553,4.10858534832403e-07,5.06476521120671e-06
"AaegL5_2",87677597,87903875,226279,10.0239362456196,9.73981548440215,10.3868413275975,-0.647025843195388,4.32361299675956e-07,5.28181912036573e-06
"AaegL5_3",187146580,187477428,330849,10.3565840302449,10.1480240428105,10.6379666218333,-0.489942579022816,4.37471579683198e-07,5.29653091116444e-06
"AaegL5_3",198947820,199001336,53517,8.23401328721486,8.50430837959389,7.65691970373098,0.847388675862907,4.58332261856474e-07,5.49998714227769e-06
"AaegL5_3",218841493,218852540,11048,5.49558057706068,4.97393000140139,6.06651064107577,-1.09258063967438,4.88140821118943e-07,5.806306609099e-06
"AaegL5_3",199991604,200027281,35678,7.68795683505054,7.41049666749423,8.04402452684902,-0.633527859354794,4.94574100277172e-07,5.83167373892039e-06
"AaegL5_2",229728827,229755248,26422,6.81593150822559,7.16581743991969,5.98165498715176,1.18416245276793,5.16060925508104e-07,6.03257426714646e-06
"AaegL5_2",141635043,141656738,21696,6.0252704172183,5.58471671365992,6.53221473584909,-0.947498022189171,5.53736407664954e-07,6.39777234548689e-06
"AaegL5_2",154225045,154456565,231521,9.3032159294181,8.95951147730503,9.72456098878329,-0.765049511478262,5.56738301450924e-07,6.39777234548689e-06
"AaegL5_3",323092444,323103597,11154,5.54091354923807,6.03256373866358,4.02764409696681,2.00491964169677,6.16805931167157e-07,7.02847766943416e-06
"AaegL5_2",308666889,308682437,15549,5.29476424187995,5.72808980427132,4.10854083289184,1.61954897137948,6.30190681263505e-07,7.12115469827761e-06
"AaegL5_2",372927847,372932802,4956,3.77430937334245,4.20986206481372,2.57708608185982,1.6327759829539,6.43009905952146e-07,7.20596225182735e-06
"AaegL5_2",77983967,78242995,259029,9.59846679560206,9.23221375740681,10.0407238561204,-0.80851009871359,6.58778543586126e-07,7.32216151723596e-06
"AaegL5_3",68788968,68793779,4812,5.11563698240663,4.61596713042353,5.66985273928662,-1.05388560886308,6.80975173921264e-07,7.4795217454794e-06
"AaegL5_2",245527246,245541374,14129,6.42214797808127,6.06721096153535,6.8539890830139,-0.786778121478541,6.8396806522083e-07,7.4795217454794e-06
"AaegL5_2",396041165,396048671,7507,4.40869010853753,3.79071776978075,5.04788734267446,-1.25716957289371,6.9121073964449e-07,7.49151172228838e-06
"AaegL5_2",83729681,83736565,6885,5.53472529846557,4.87945611588449,6.19836028346482,-1.31890416758032,6.9634507258956e-07,7.49151172228838e-06
"AaegL5_2",211063810,211076322,12513,5.34920837159636,5.66559747810853,4.63055397463918,1.03504350346935,7.01638634757098e-07,7.49151172228838e-06
"AaegL5_2",324139227,324144142,4916,4.6921003918395,3.94848137548292,5.4096767024016,-1.46119532691868,7.10278085211443e-07,7.52450846520872e-06
"AaegL5_1",257212006,257221127,9122,4.37781603776362,3.74566268820281,5.02642849920772,-1.28076581100491,7.23865991588236e-07,7.55285608829814e-06
"AaegL5_2",246434440,246444970,10531,6.22812126267321,6.5585424166725,5.46247884827413,1.09606356839837,7.24093872771946e-07,7.55285608829814e-06
"AaegL5_3",179135275,179150376,15102,4.48378597071082,4.89342793545313,3.40866183145893,1.48476610399421,7.5045507578442e-07,7.76806933407385e-06
"AaegL5_2",289405940,289771589,365650,10.1621131544455,9.80412148648842,10.5967814333488,-0.792659946860343,7.95463818880896e-07,8.17158286668556e-06
"AaegL5_3",252413504,252422785,9282,5.38708748424852,5.8023233397671,4.2866446918537,1.5156786479134,8.13604772638266e-07,8.29509828343976e-06
"AaegL5_2",203264420,203269604,5185,4.82906824044437,5.21398120119005,3.85975854897667,1.35422265221337,8.40740244060313e-07,8.5077893354163e-06
"AaegL5_3",197537939,197546571,8633,4.10698732949698,4.56824046903832,2.77499955156177,1.79324091747655,8.53374385572263e-07,8.57167160619251e-06
"AaegL5_3",173636299,174085241,448943,10.6602865427276,10.40353683624,10.9946782766988,-0.59114144045879,8.67610778599869e-07,8.65058982192222e-06
"AaegL5_3",242872236,242883549,11314,4.97125681174963,5.43230552833355,3.64040213221746,1.79190339611609,8.74228111615859e-07,8.65294393686938e-06
"AaegL5_2",170990611,170994616,4006,4.1371441019717,3.39541316119002,4.85362210174382,-1.4582089405538,8.93333143829572e-07,8.77796915241231e-06
"AaegL5_2",122517148,122520552,3405,2.3145122051081,2.85972328225144,0.399805662208382,2.45991762004306,9.43216899502353e-07,9.15448380031053e-06
"AaegL5_3",40214018,40283433,69416,7.49059432635194,7.05443516862282,7.9938825248887,-0.939447356265874,9.45153194722326e-07,9.15448380031053e-06
"AaegL5_1",218415663,218423506,7844,5.41705528077044,5.86335687634113,4.16528102136574,1.69807585497539,9.97822825515514e-07,9.59608334325558e-06
"AaegL5_3",105736377,105890339,153963,8.89484378726817,8.63070631338949,9.23704091893655,-0.60633460554706,1.01405714370357e-06,9.68353159762003e-06
"AaegL5_3",225233257,225420444,187188,9.50577959311387,9.12620033212133,9.96010421160925,-0.833903879487915,1.05240315641052e-06,9.97943132931937e-06
"AaegL5_3",337112591,337138751,26161,6.71475637624959,6.31592415215487,7.18614659943912,-0.870222447284245,1.07505506419897e-06,1.01234351878736e-05
"AaegL5_1",137139737,137147880,8144,4.76061422370041,5.24505346824805,3.29281285031529,1.95224061793276,1.09831442983979e-06,1.02271155279213e-05
"AaegL5_1",233124468,233140493,16026,6.46009289698126,5.97473764394434,7.00317908294785,-1.02844143900351,1.10114960698857e-06,1.02271155279213e-05
"AaegL5_3",202779977,202828123,48147,7.89194300337147,8.17455254761211,7.2788003609951,0.895752186617004,1.18451235588901e-06,1.09265221400374e-05
"AaegL5_2",141493627,141497997,4371,4.6487805949181,5.04582745124323,3.62874591105965,1.41708154018358,1.26585389490697e-06,1.15735416294061e-05
"AaegL5_2",263687345,263748937,61593,7.43951723197309,7.03734025832093,7.91382876361606,-0.876488505295133,1.27172396960288e-06,1.15735416294061e-05
"AaegL5_2",344981962,344990146,8185,3.77152055480412,4.2432759566525,2.37986304430959,1.86341291234292,1.37850088708901e-06,1.24616480192846e-05
"AaegL5_3",275518083,275527398,9316,3.26534768213193,3.80159852230588,1.42720529509937,2.37439322720651,1.44890176971181e-06,1.30113297995312e-05
"AaegL5_3",64886882,64939853,52972,7.4125303015547,6.95718096134349,7.93163568335735,-0.974454722013864,1.49936012786683e-06,1.33758706143909e-05
"AaegL5_3",297068143,297070464,2322,2.45495582767755,1.45438204438337,3.30320767579792,-1.84882563141455,1.54141600245894e-06,1.36611771198322e-05
"AaegL5_2",357157570,357287405,129836,8.90444517694045,8.53894265934285,9.34601625498042,-0.807073595637576,1.61031835765106e-06,1.4179166837499e-05
"AaegL5_3",140212125,140227960,15836,5.69505808491841,5.04650278160353,6.35437066797919,-1.30786788637566,1.63783786208011e-06,1.43284396192298e-05
"AaegL5_3",191808172,191812379,4208,5.91919545828863,6.24423511874576,5.17180924218659,1.07242587655917,1.67411841006819e-06,1.45519523336696e-05
"AaegL5_2",13756660,13829134,72475,7.49129209217398,7.17338167901686,7.88792337353354,-0.71454169451668,1.84620761346862e-06,1.59455893239711e-05
"AaegL5_3",366175593,366195749,20157,5.43085604830792,4.8981602834785,6.01001787038506,-1.11185758690656,1.91865450231918e-06,1.64664272477519e-05
"AaegL5_1",158449533,158455933,6401,5.30929280905095,5.7381519373799,4.14482957030989,1.59332236707001,1.98907514704908e-06,1.69634333295507e-05
"AaegL5_3",199919229,199985157,65929,8.49597932320752,8.28081175831776,8.78485313639003,-0.504041378072275,2.03554722221092e-06,1.72512627082376e-05
"AaegL5_1",29317296,29325430,8135,6.21663062990359,6.57833516332285,5.33855038572706,1.23978477759579,2.27294069098778e-06,1.91239949912445e-05
"AaegL5_2",6206817,6403424,196608,9.33055314067403,9.05160457025062,9.68815430059986,-0.636549730349245,2.28472506532567e-06,1.91239949912445e-05
"AaegL5_2",300651139,300684741,33603,7.21582352554122,6.84206858829227,7.66490004490648,-0.822831456614208,2.3713126726659e-06,1.97269937676992e-05
"AaegL5_1",194735862,194739232,3371,4.53574641509998,3.82781116368107,5.23217379642197,-1.4043626327409,2.43095829533229e-06,2.00998746857963e-05
"AaegL5_3",96393330,96400990,7661,4.65260818887152,4.10110130056031,5.2455398775422,-1.14443857698189,2.52074420719789e-06,2.07159342118808e-05
"AaegL5_3",22110015,22116976,6962,4.43497388396536,4.92436936936799,2.93610045468824,1.98826891467975,2.54177808653685e-06,2.07629583454456e-05
"AaegL5_3",281129703,281144537,14835,5.50374947686767,5.84188445685114,4.71140701988231,1.13047743696883,2.57878707850778e-06,2.09391334039314e-05
"AaegL5_2",171003081,171008439,5359,4.26228353672771,3.55977900345304,4.95541834729209,-1.39563934383904,2.80089985180191e-06,2.2607263089544e-05
"AaegL5_2",214690268,214701370,11103,5.8134755734386,5.31317453800252,6.36817757651689,-1.05500303851437,2.88434728052316e-06,2.31430468188722e-05
"AaegL5_1",150752917,150837396,84480,8.48433425675055,8.75631569061359,7.9023750227946,0.853940667818988,2.91434580038054e-06,2.32461935606824e-05
"AaegL5_2",142053865,142070646,16782,6.33497987307921,5.76225800504095,6.94307433986888,-1.18081633482792,3.10436539530048e-06,2.46170729592249e-05
"AaegL5_2",245057458,245390563,333106,10.1685521174823,9.95219266070543,10.4587694491676,-0.506576788462139,3.35456334992176e-06,2.64464412935692e-05
"AaegL5_3",187760817,187787122,26306,6.41031213555061,6.71599907520431,5.72620005758188,0.989799017622422,3.5663807739399e-06,2.79538284940029e-05
"AaegL5_3",157457860,157466870,9011,5.53509746104499,5.07076430638161,6.06147718627472,-0.990712879893112,3.60538490878327e-06,2.80971375650007e-05
"AaegL5_1",150897212,151105322,208111,9.66358088436591,9.91856102260112,9.12968923949321,0.788871783107908,3.72757515887542e-06,2.88833823739147e-05
"AaegL5_3",187718036,187724534,6499,5.16395479473583,5.51660537624694,4.3195819449787,1.19702343126824,3.97518031859518e-06,3.0626957454631e-05
"AaegL5_2",317950563,318469702,519140,10.6956514938807,10.3701711333705,11.0996257117869,-0.729454578416354,4.02389985479939e-06,3.08271649893106e-05
"AaegL5_2",236120876,236499113,378238,9.99878495098796,9.73233044133263,10.3434132404055,-0.611082799072864,4.09728560146002e-06,3.12130296380887e-05
"AaegL5_1",168282440,168296994,14555,5.89622920348527,5.52384343359453,6.34406614951053,-0.820222715915997,4.12890068986135e-06,3.12781527120223e-05
"AaegL5_2",48318842,48323728,4887,4.72105716226553,4.23892468020639,5.26161041314903,-1.02268573294264,4.31059562313347e-06,3.24731536942721e-05
"AaegL5_2",192192915,192212903,19989,6.0189985977416,5.58726064389188,6.51858782507254,-0.931327181180658,4.41490099868792e-06,3.30751699128222e-05
"AaegL5_1",151684744,151691711,6968,3.41300855607725,3.86835198459891,2.11336074669928,1.75499123789963,4.58047930274744e-06,3.41270875523381e-05
"AaegL5_2",214623017,214678537,55521,7.89636549504792,7.59935149610412,8.27232633338052,-0.672974837276396,4.657847097515e-06,3.45009916367528e-05
"AaegL5_3",239724155,240183320,459166,10.4917513108178,10.1816372260412,10.8807400926857,-0.699102866644438,4.68155048758297e-06,3.45009916367528e-05
"AaegL5_2",119767082,119802567,35486,6.90490098442053,7.35651783647126,5.62521344707766,1.7313043893936,4.75140555695542e-06,3.48265185688192e-05
"AaegL5_3",85157519,85340661,183143,8.77150015439787,8.42121285123372,9.19901559011302,-0.777802738879299,4.98785242742351e-06,3.63630531805714e-05
